Date, Open, High, Low, Close
02/14/19, 3650.23, 3650.23, 3650.23, 3650.23
02/13/19, 3652.49, 3652.49, 3652.49, 3652.49
02/12/19, 3638.76, 3638.76, 3638.76, 3638.76
02/11/19, 3594.59, 3594.59, 3594.59, 3594.59
02/08/19, 3589.32, 3589.32, 3589.32, 3589.32
02/07/19, 3593.56, 3593.56, 3593.56, 3593.56
02/06/19, 3630.64, 3630.64, 3630.64, 3630.64
02/05/19, 3636.04, 3636.04, 3636.04, 3636.04
02/04/19, 3612.17, 3612.17, 3612.17, 3612.17
02/01/19, 3591.80, 3591.80, 3591.80, 3591.80
01/31/19, 3579.86, 3579.86, 3579.86, 3579.86
01/30/19, 3546.12, 3546.12, 3546.12, 3546.12
01/29/19, 3499.34, 3499.34, 3499.34, 3499.34
01/28/19, 3499.85, 3499.85, 3499.85, 3499.85
01/25/19, 3524.25, 3524.25, 3524.25, 3524.25
01/24/19, 3487.26, 3487.26, 3487.26, 3487.26
01/23/19, 3477.03, 3477.03, 3477.03, 3477.03
01/22/19, 3478.03, 3478.03, 3478.03, 3478.03
01/21/19, 3518.74, 3518.74, 3518.74, 3518.74
01/18/19, 3517.62, 3517.62, 3517.62, 3517.62
01/17/19, 3473.40, 3473.40, 3473.40, 3473.40
01/16/19, 3452.70, 3452.70, 3452.70, 3452.70
01/15/19, 3455.12, 3455.12, 3455.12, 3455.12
01/14/19, 3421.33, 3421.33, 3421.33, 3421.33
01/11/19, 3446.68, 3446.68, 3446.68, 3446.68
01/10/19, 3449.93, 3449.93, 3449.93, 3449.93
01/09/19, 3441.00, 3441.00, 3441.00, 3441.00
01/08/19, 3404.43, 3404.43, 3404.43, 3404.43
01/07/19, 3376.54, 3376.54, 3376.54, 3376.54
01/04/19, 3342.49, 3342.49, 3342.49, 3342.49
01/03/19, 3254.11, 3254.11, 3254.11, 3254.11
01/02/19, 3323.68, 3323.68, 3323.68, 3323.68
01/01/19, 3334.43, 3334.43, 3334.43, 3334.43
12/31/18, 3334.38, 3334.38, 3334.38, 3334.38
12/28/18, 3311.25, 3311.25, 3311.25, 3311.25
12/27/18, 3301.79, 3301.79, 3301.79, 3301.79
12/26/18, 3276.32, 3276.32, 3276.32, 3276.32
12/25/18, 3170.31, 3170.31, 3170.31, 3170.31
12/24/18, 3183.58, 3183.58, 3183.58, 3183.58
12/21/18, 3237.22, 3237.22, 3237.22, 3237.22
12/20/18, 3281.20, 3281.20, 3281.20, 3281.20
12/19/18, 3332.99, 3332.99, 3332.99, 3332.99
12/18/18, 3366.14, 3366.14, 3366.14, 3366.14
12/17/18, 3371.53, 3371.53, 3371.53, 3371.53
12/14/18, 3424.32, 3424.32, 3424.32, 3424.32
12/13/18, 3492.13, 3492.13, 3492.13, 3492.13
12/12/18, 3493.37, 3493.37, 3493.37, 3493.37
12/11/18, 3454.31, 3454.31, 3454.31, 3454.31
12/10/18, 3445.54, 3445.54, 3445.54, 3445.54
12/07/18, 3457.56, 3457.56, 3457.56, 3457.56
12/06/18, 3508.23, 3508.23, 3508.23, 3508.23
12/05/18, 3537.77, 3537.77, 3537.77, 3537.77
12/04/18, 3553.91, 3553.91, 3553.91, 3553.91
12/03/18, 3638.20, 3638.20, 3638.20, 3638.20
11/30/18, 3588.84, 3588.84, 3588.84, 3588.84
11/29/18, 3569.06, 3569.06, 3569.06, 3569.06
11/28/18, 3559.80, 3559.80, 3559.80, 3559.80
11/27/18, 3494.94, 3494.94, 3494.94, 3494.94
11/26/18, 3494.36, 3494.36, 3494.36, 3494.36
11/23/18, 3453.89, 3453.89, 3453.89, 3453.89
11/22/18, 3470.34, 3470.34, 3470.34, 3470.34
11/21/18, 3468.19, 3468.19, 3468.19, 3468.19
11/20/18, 3451.89, 3451.89, 3451.89, 3451.89
11/19/18, 3508.84, 3508.84, 3508.84, 3508.84
11/16/18, 3560.46, 3560.46, 3560.46, 3560.46
11/15/18, 3552.78, 3552.78, 3552.78, 3552.78
11/14/18, 3516.46, 3516.46, 3516.46, 3516.46
11/13/18, 3532.79, 3532.79, 3532.79, 3532.79
11/12/18, 3537.60, 3537.60, 3537.60, 3537.60
11/09/18, 3605.14, 3605.14, 3605.14, 3605.14
11/08/18, 3645.74, 3645.74, 3645.74, 3645.74
11/07/18, 3653.65, 3653.65, 3653.65, 3653.65
11/06/18, 3590.29, 3590.29, 3590.29, 3590.29
11/05/18, 3574.92, 3574.92, 3574.92, 3574.92
11/02/18, 3579.09, 3579.09, 3579.09, 3579.09
11/01/18, 3577.94, 3577.94, 3577.94, 3577.94
10/31/18, 3535.19, 3535.19, 3535.19, 3535.19
10/30/18, 3482.43, 3482.43, 3482.43, 3482.43
10/29/18, 3439.13, 3439.13, 3439.13, 3439.13
10/26/18, 3461.91, 3461.91, 3461.91, 3461.91
10/25/18, 3501.86, 3501.86, 3501.86, 3501.86
10/24/18, 3470.50, 3470.50, 3470.50, 3470.50
10/23/18, 3554.98, 3554.98, 3554.98, 3554.98
10/22/18, 3597.36, 3597.36, 3597.36, 3597.36
10/19/18, 3595.97, 3595.97, 3595.97, 3595.97
10/18/18, 3606.48, 3606.48, 3606.48, 3606.48
10/17/18, 3659.51, 3659.51, 3659.51, 3659.51
10/16/18, 3666.77, 3666.77, 3666.77, 3666.77
10/15/18, 3595.35, 3595.35, 3595.35, 3595.35
10/12/18, 3618.90, 3618.90, 3618.90, 3618.90
10/11/18, 3561.12, 3561.12, 3561.12, 3561.12
10/10/18, 3634.29, 3634.29, 3634.29, 3634.29
10/09/18, 3735.03, 3735.03, 3735.03, 3735.03
10/08/18, 3747.30, 3747.30, 3747.30, 3747.30
10/05/18, 3770.92, 3770.92, 3770.92, 3770.92
10/04/18, 3801.03, 3801.03, 3801.03, 3801.03
10/03/18, 3858.34, 3858.34, 3858.34, 3858.34
10/02/18, 3857.08, 3857.08, 3857.08, 3857.08
10/01/18, 3874.02, 3874.02, 3874.02, 3874.02
09/28/18, 3865.04, 3865.04, 3865.04, 3865.04
09/27/18, 3868.40, 3868.40, 3868.40, 3868.40
09/26/18, 3866.00, 3866.00, 3866.00, 3866.00
